Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),Date
16,54,50,0.13,1000,1000,15-12-2020 15:58
16,54,50,0.13,1000,1000,15-12-2020 15:58
16,54,50,0.13,1000,1000,15-12-2020 15:58
16,54,50,0.13,1000,1000,15-12-2020 15:57
16,54,50,0.13,1000,1000,15-12-2020 15:57
16,54,50,0.13,1000,1000,15-12-2020 15:57
16,54,50,0.13,1000,1000,15-12-2020 15:56
16,54,50,0.13,1000,1000,15-12-2020 15:56
16,54,50,0.13,1000,1000,15-12-2020 15:56
15,54,50,0.13,1000,1000,15-12-2020 15:55
15,54,50,0.13,1000,1000,15-12-2020 15:55
15,54,50,0.13,1000,1000,15-12-2020 15:55
15,54,50,0.13,1000,1000,15-12-2020 15:54
15,54,50,0.13,1000,1000,15-12-2020 15:54
16,54,50,0.13,1000,1000,15-12-2020 15:54
16,54,50,0.13,1000,1000,15-12-2020 15:53
16,54,50,0.13,1000,1000,15-12-2020 15:53
16,54,50,0.13,1000,1000,15-12-2020 15:53
16,54,50,0.13,1000,1000,15-12-2020 15:52
16,54,50,0.13,1000,1000,15-12-2020 15:52
16,54,50,0.13,1000,1000,15-12-2020 15:51
16,54,50,0.13,1000,1000,15-12-2020 15:51
16,53,50,0.13,1000,1000,15-12-2020 15:51
16,53,50,0.13,1000,1000,15-12-2020 15:50
16,53,50,0.13,1000,1000,15-12-2020 15:50
16,53,50,0.13,1000,1000,15-12-2020 15:50
16,53,50,0.13,1000,1000,15-12-2020 15:49
16,54,50,0.13,1000,1000,15-12-2020 15:49
16,54,50,0.13,1000,1000,15-12-2020 15:49
16,54,50,0.13,1000,1000,15-12-2020 15:48
16,54,50,0.13,1000,1000,15-12-2020 15:48
16,54,50,0.13,1000,1000,15-12-2020 15:48
16,54,50,0.13,0,0,15-12-2020 15:47
16,54,50,0.13,0,0,15-12-2020 15:47
16,54,50,0.13,0,0,15-12-2020 15:46
16,54,50,0.13,0,0,15-12-2020 15:46
15,54,53,0.09,1000,1000,15-12-2020 15:44
14,54,53,0.09,1000,1000,15-12-2020 15:44
14,54,53,0.09,1000,1000,15-12-2020 15:44
14,54,53,0.09,1000,1000,15-12-2020 15:43
14,54,53,0.09,1000,1000,15-12-2020 15:43
