Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
51800.00,0,0,0,409.427,1976.7136,4.828
52000.00,-0.007,0,0,357.618,1740.1693,4.866
52200.00,0.024,0,0,410.415,1980.663,4.826
52400.00,-0.006,0,0,405.819,1962.5406,4.836
52600.00,0.015,0,0,357.403,1739.1232,4.866
52800.00,0.024,0,0,454.248,2180.3904,4.8
53000.00,0.008,0,0,514.866,2457.9705,4.774
53200.00,-0.01,0,0,357.345,1738.126,4.864
53400.00,0.016,0,0,413.62,1996.1301,4.826
53600.00,-0.001,0,0,358.252,1742.5377,4.864
53800.00,0.005,0,0,409.022,1974.7583,4.828
54000.00,-0.01,0,0,414.024,1998.9078,4.828
54200.00,-0.01,0,0,358.084,1741.0045,4.862
54400.00,0.02,0,0,412.511,1989.953,4.824
54600.00,-0.015,0,0,411.104,1983.988,4.826
54800.00,-0.004,0,0,358.324,1742.8879,4.864
55000.00,-0.018,0,0,412.079,1987.8691,4.824
55200.00,-0.002,0,0,357.658,1741.0791,4.868
55400.00,0.008,0,0,412.901,1993.4861,4.828
55600.00,-0.017,0,0,407.484,1965.7028,4.824
55800.00,0.01,0,0,357.788,1740.2808,4.864
56000.00,0,0,0,414.859,2001.2798,4.824
56200.00,0.015,0,0,406.64,1963.2581,4.828
56400.00,0.006,0,0,357.832,1741.2106,4.866
56600.00,0.012,0,0,409.836,1979.5078,4.83
56800.00,0.002,0,0,410.589,1980.6813,4.824
57000.00,0.011,0,0,357.153,1737.1923,4.864
57200.00,0.01,0,0,409.355,1975.5474,4.826
57400.00,0.02,0,0,357.301,1737.912,4.864
57600.00,0,0,0,605.868,2839.0972,4.686
57800.00,-0.006,0,0,357.865,1741.3711,4.866
58000.00,0.004,0,0,416.351,2008.4773,4.824
58200.00,-0.01,0,0,409.835,1980.3226,4.832
58400.00,0.003,0,0,357.408,1739.8621,4.868
58600.00,0.001,0,0,415.339,2003.5952,4.824
58800.00,0.022,0,0,409.859,1978.7993,4.828
59000.00,0,0,0,357.964,1740.4209,4.862
59200.00,0.014,0,0,412.241,1988.6505,4.824
59400.00,0.014,0,0,412.854,1990.782,4.822
59600.00,0.02,0,0,385.213,1870.5944,4.856
59800.00,0.024,0,0,412.986,1993.8964,4.828
60000.00,0.003,0,0,358.092,1741.7595,4.864
60200.00,0.017,0,0,411.16,1985.0806,4.828
60400.00,0,0,0,417.853,2015.7228,4.824
60600.00,0,0,0,357.592,1740.0428,4.866
60800.00,-0.003,0,0,414.131,1997.7679,4.824
61000.00,-0.025,0,0,646.421,3016.2004,4.666
61200.00,0.003,0,0,358.74,1745.6289,4.866
61400.00,0.001,0,0,413.287,1993.6964,4.824
61600.00,-0.007,0,0,357.419,1737.7712,4.862
61800.00,0.001,0,0,408.926,1973.4769,4.826
62000.00,0.004,0,0,411.407,1984.6274,4.824
62200.00,0.005,0,0,357.278,1738.5149,4.866
62400.00,0.012,0,0,409.91,1977.4058,4.824
62600.00,-0.005,0,0,412.605,1991.2318,4.826
62800.00,0.015,0,0,357.93,1741.6874,4.866
63000.00,0.002,0,0,413.436,1994.4153,4.824
63200.00,0.012,0,0,409.833,1977.0344,4.824
63400.00,-0.02,0,0,357.824,1741.8872,4.868
63600.00,-0.003,0,0,415.423,2005.6624,4.828
63800.00,-0.001,0,0,408.06,1970.1136,4.828
64000.00,-0.009,0,0,357.417,1738.4762,4.864
64200.00,0.004,0,0,413.515,1996.4506,4.828
64400.00,-0.005,0,0,455.096,2178.9998,4.788
64600.00,-0.001,0,0,408.403,1971.7698,4.828
64800.00,0,0,0,411.549,1986.9586,4.828
65000.00,-0.007,0,0,358.304,1742.074,4.862
65200.00,-0.015,0,0,405.293,1958.3757,4.832
65400.00,0.019,0,0,411.224,1986.2119,4.83
65600.00,0.007,0,0,357.842,1739.8279,4.862
65800.00,-0.01,0,0,419.142,2021.1028,4.822
66000.00,0.012,0,0,481.175,2311.5647,4.804
66200.00,0.005,0,0,413.885,1998.2368,4.828
66400.00,0,0,0,407.666,1967.3961,4.826
66600.00,-0.006,0,0,357.269,1737.7565,4.864
66800.00,-0.018,0,0,412.52,1990.8215,4.826
67000.00,0.01,0,0,408.978,1973.7279,4.826
67200.00,-0.003,0,0,357.867,1739.9493,4.862
67400.00,0.016,0,0,410.874,1985.343,4.832
67600.00,0.006,0,0,406.9,1965.3269,4.83
67800.00,0.004,0,0,449.338,2155.9238,4.798
68000.00,-0.002,0,0,408.863,1974.8083,4.83
68200.00,0.007,0,0,360.218,1751.3799,4.862
68400.00,-0.007,0,0,410.569,1983.0482,4.83
68600.00,-0.012,0,0,424.76,2037.149,4.796
68800.00,-0.02,0,0,357.524,1739.7118,4.866
69000.00,0.004,0,0,409.972,1978.5249,4.826
69200.00,-0.007,0,0,397.828,1924.6918,4.838
69400.00,0,0,0,412.546,1991.7721,4.828
69600.00,0.01,0,0,413.966,1996.9719,4.824
69800.00,-0.005,0,0,357.962,1741.8431,4.866
70000.00,0.005,0,0,408.499,1972.2332,4.828
70200.00,-0.001,0,0,408.474,1972.1125,4.828
70400.00,-0.002,0,0,357.957,1741.1028,4.864
70600.00,-0.009,0,0,407.568,1969.3684,4.832
70800.00,-0.013,0,0,426.43,2046.864,4.8
71000.00,-0.003,0,0,358.641,1744.4297,4.864
71200.00,-0.021,0,0,414.632,2001.014,4.826
71400.00,-0.004,0,0,357.543,1739.0891,4.864
71600.00,-0.012,0,0,412.386,1990.9995,4.828
