Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
65200.00,-0.01,0,0,447.267,2148.6707,4.804
65400.00,-0.001,0,0,447.465,2149.6218,4.804
65600.00,-0.005,0,0,447.094,2148.7339,4.806
65800.00,0.026,0,0,563.953,2664.114,4.724
66000.00,0.024,0,0,403.807,1951.1953,4.832
66200.00,-0.003,0,0,404.079,1953.318,4.834
66400.00,-0.014,0,0,403.766,1950.9972,4.832
66600.00,0.01,0,0,404,1951.3199,4.83
66800.00,-0.006,0,0,404.424,1954.9857,4.834
67000.00,0.002,0,0,403.98,1953.6473,4.836
67200.00,-0.008,0,0,404.795,1955.9694,4.832
67400.00,0.004,0,0,415.319,2005.9907,4.83
67600.00,-0.03,0,0,404.088,1954.1696,4.836
67800.00,0.005,0,0,564.276,2667.897,4.728
68000.00,-0.009,0,0,403.528,1949.0403,4.83
68200.00,-0.017,0,0,403.763,1950.9828,4.832
68400.00,0.007,0,0,403.824,1951.2775,4.832
68600.00,0.003,0,0,404.059,1951.6049,4.83
68800.00,-0.006,0,0,404.121,1951.9044,4.83
69000.00,0.001,0,0,404.207,1953.9366,4.834
69200.00,0.005,0,0,404.516,1956.2394,4.836
69400.00,-0.003,0,0,404.384,1953.9834,4.832
69600.00,0.015,0,0,404.249,1953.3311,4.832
69800.00,0.019,0,0,564.759,2665.6621,4.72
70000.00,-0.004,0,0,357.809,1740.3829,4.864
70200.00,-0.002,0,0,360.857,1755.9302,4.866
70400.00,0.017,0,0,362.405,1762.7379,4.864
70600.00,-0.016,0,0,361.973,1761.3606,4.866
70800.00,0.008,0,0,359.919,1751.366,4.866
71000.00,0,0,0,405.73,1961.299,4.834
71200.00,-0.012,0,0,314.244,1538.5386,4.896
71400.00,-0.013,0,0,362.424,1761.3807,4.86
71600.00,0.002,0,0,362.19,1760.9678,4.862
71800.00,0.006,0,0,359.857,1750.3444,4.864
72000.00,-0.017,0,0,420.811,2031.6755,4.828
72200.00,-0.007,0,0,360.61,1753.2858,4.862
72400.00,0.017,0,0,359.914,1750.6217,4.864
72600.00,-0.005,0,0,359.568,1748.2196,4.862
72800.00,-0.002,0,0,361.975,1760.6464,4.864
73000.00,-0.02,0,0,403.861,1953.0718,4.836
73200.00,0.005,0,0,405.552,1959.6272,4.832
73400.00,0.002,0,0,404.293,1954.3524,4.834
73600.00,0,0,0,403.948,1953.4926,4.836
73800.00,0.002,0,0,491.825,2346.0054,4.77
74000.00,0.007,0,0,403.932,1953.4152,4.836
74200.00,0,0,0,406.865,1966.7854,4.834
74400.00,0,0,0,404.088,1952.5532,4.832
74600.00,-0.006,0,0,404.323,1953.6886,4.832
74800.00,0.015,0,0,561.181,2653.2639,4.728
75000.00,0,0,0,443.967,2132.8174,4.804
75200.00,-0.007,0,0,404.036,1953.1101,4.834
75400.00,0.024,0,0,403.777,1951.0504,4.832
75600.00,-0.01,0,0,403.801,1952.7816,4.836
75800.00,-0.013,0,0,404.139,1953.608,4.834
76000.00,0.005,0,0,404.115,1952.6836,4.832
76200.00,0.023,0,0,404.221,1954.0044,4.834
76400.00,0.001,0,0,403.653,1951.2587,4.834
76600.00,0,0,0,403.962,1952.7523,4.834
76800.00,0.011,0,0,579.041,2744.6543,4.74
77000.00,-0.003,0,0,563.961,2663.0239,4.722
77200.00,0.011,0,0,404.621,1955.938,4.834
77400.00,0.008,0,0,404.275,1953.4567,4.832
77600.00,-0.011,0,0,403.596,1949.3687,4.83
77800.00,0.006,0,0,404.078,1954.1212,4.836
78000.00,0.012,0,0,357.936,1741.0006,4.864
78200.00,-0.006,0,0,362.384,1762.6357,4.864
78400.00,0.008,0,0,426.542,2054.2263,4.816
78600.00,0,0,0,366.938,1784.0525,4.862
78800.00,0.016,0,0,359.763,1749.8872,4.864
79000.00,0.012,0,0,359.948,1750.787,4.864
79200.00,-0.029,0,0,362.421,1762.8157,4.864
79400.00,-0.001,0,0,427.097,2058.6074,4.82
79600.00,-0.007,0,0,362.014,1760.1121,4.862
79800.00,-0.009,0,0,362.799,1765.38,4.866
80000.00,0.018,0,0,369.697,1795.9879,4.858
80200.00,0.004,0,0,312.159,1528.3304,4.896
80400.00,-0.007,0,0,427.817,2059.511,4.814
80600.00,0.012,0,0,362.793,1765.3508,4.866
80800.00,0.002,0,0,362.342,1762.4315,4.864
81000.00,0,0,0,367.044,1783.0997,4.858
81200.00,-0.005,0,0,311.413,1524.678,4.896
81400.00,0.003,0,0,427.734,2061.678,4.82
81600.00,0.01,0,0,362.342,1761.7069,4.862
81800.00,-0.012,0,0,362.435,1762.8838,4.864
82000.00,0.019,0,0,451.548,2168.3335,4.802
82200.00,0.017,0,0,311.622,1526.9479,4.9
82400.00,0.001,0,0,425.616,2051.4692,4.82
82600.00,-0.012,0,0,364.12,1770.3514,4.862
82800.00,0.004,0,0,312.165,1529.6085,4.9
83000.00,-0.001,0,0,311.35,1525.6151,4.9
83200.00,-0.001,0,0,404.056,1953.2068,4.834
83400.00,-0.001,0,0,404.92,1957.3834,4.834
83600.00,0.013,0,0,564.032,2664.4871,4.724
83800.00,-0.003,0,0,404.87,1957.9513,4.836
84000.00,0.011,0,0,404.007,1952.1616,4.832
84200.00,0.003,0,0,403.821,1952.8784,4.836
84400.00,0,0,0,404.081,1952.5193,4.832
84600.00,0,0,0,403.636,1951.9836,4.836
84800.00,-0.002,0,0,404.155,1952.8768,4.832
85000.00,-0.023,0,0,403.895,1951.6205,4.832
85200.00,-0.005,0,0,403.829,1952.9171,4.836
85400.00,0.009,0,0,404.656,1955.2977,4.832
85600.00,-0.002,0,0,564.043,2665.6672,4.726
85800.00,0.011,0,0,404.384,1953.9834,4.832
86000.00,0.024,0,0,404.088,1952.5532,4.832
86200.00,0.012,0,0,403.915,1952.5251,4.834
86400.00,-0.003,0,0,404.113,1952.674,4.832
86600.00,0.014,0,0,404.57,1956.5005,4.836
86800.00,0.002,0,0,404.927,1959.0367,4.838
87000.00,0.017,0,0,403.928,1952.588,4.834
87200.00,0.001,0,0,404.981,1956.868,4.832
87400.00,-0.012,0,0,404.34,1955.3882,4.836
87600.00,0.014,0,0,563.366,2660.2144,4.722
87800.00,-0.014,0,0,404.364,1954.6957,4.834
88000.00,-0.019,0,0,407.487,1969.7922,4.834
88200.00,-0.004,0,0,404.216,1954.7886,4.836
88400.00,0.009,0,0,404.327,1955.3253,4.836
88600.00,-0.004,0,0,403.965,1951.9587,4.832
88800.00,0.013,0,0,404.199,1952.2811,4.83
89000.00,-0.002,0,0,404.162,1952.9106,4.832
89200.00,0.015,0,0,404.113,1953.4823,4.834
89400.00,-0.002,0,0,564.623,2670.6667,4.73
89600.00,-0.009,0,0,403.414,1949.2964,4.832
89800.00,-0.001,0,0,404.401,1955.6832,4.836
90000.00,-0.006,0,0,404.184,1953.8254,4.834
90200.00,0,0,0,445.131,2139.2998,4.806
90400.00,-0.005,0,0,404.283,1953.4954,4.832
90600.00,0.002,0,0,404.155,1954.4935,4.836
90800.00,-0.006,0,0,403.784,1951.8918,4.834
91000.00,0.008,0,0,404.039,1953.1246,4.834
91200.00,-0.013,0,0,404.738,1955.694,4.832
91400.00,0.013,0,0,567.756,2679.8081,4.72
91600.00,-0.001,0,0,404.424,1954.1768,4.832
91800.00,-0.004,0,0,404.067,1951.6436,4.83
92000.00,-0.01,0,0,404.306,1953.6064,4.832
92200.00,-0.007,0,0,404.15,1952.8527,4.832
92400.00,0.017,0,0,405.626,1960.7961,4.834
92600.00,-0.012,0,0,403.878,1952.3462,4.834
92800.00,0.015,0,0,404.496,1954.5245,4.832
93000.00,-0.012,0,0,414.134,2000.2672,4.83
