Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
221600.00,0,0,0,405.429,1959.0327,4.832
221800.00,0.022,0,0,405.355,1957.8646,4.83
222000.00,0,0,0,405.79,1959.9657,4.83
222200.00,0.003,0,0,405.049,1958.007,4.834
222400.00,-0.012,0,0,405.555,1958.8306,4.83
222600.00,0.023,0,0,404.91,1957.335,4.834
222800.00,0.011,0,0,565.855,2667.4404,4.714
223000.00,-0.018,0,0,405.997,1962.5896,4.834
223200.00,-0.017,0,0,405.441,1957.4692,4.828
223400.00,-0.016,0,0,405.49,1958.5166,4.83
223600.00,0.009,0,0,405.816,1960.0913,4.83
223800.00,-0.001,0,0,405.557,1960.4626,4.834
224000.00,-0.016,0,0,406.277,1963.1304,4.832
224200.00,0,0,0,405.191,1957.8828,4.832
224400.00,0.011,0,0,404.883,1956.3945,4.832
224600.00,-0.009,0,0,405.66,1960.9604,4.834
224800.00,-0.012,0,0,564.822,2667.0896,4.722
225000.00,-0.01,0,0,405.68,1959.4343,4.83
225200.00,-0.006,0,0,405.705,1960.3665,4.832
225400.00,-0.006,0,0,405.73,1958.8645,4.828
225600.00,0.009,0,0,405.433,1958.2415,4.83
225800.00,0.006,0,0,410.55,1981.3143,4.826
226000.00,0,0,0,410.649,1982.6133,4.828
226200.00,-0.027,0,0,405.515,1959.4485,4.832
226400.00,0,0,0,446.773,2144.5105,4.8
226600.00,0.012,0,0,410.328,1980.243,4.826
226800.00,-0.006,0,0,358.519,1743.8364,4.864
227000.00,0.001,0,0,313.158,1532.5952,4.894
227200.00,0.012,0,0,366.954,1781.9287,4.856
227400.00,-0.005,0,0,365.843,1777.9969,4.86
227600.00,0.004,0,0,361.128,1755.082,4.86
227800.00,0.011,0,0,365.818,1777.1438,4.858
228000.00,-0.003,0,0,365.961,1777.1066,4.856
228200.00,-0.013,0,0,408.675,1973.0829,4.828
228400.00,-0.011,0,0,360.753,1755.4241,4.866
228600.00,0.006,0,0,363.196,1765.1327,4.86
228800.00,-0.004,0,0,430.371,2073.5273,4.818
229000.00,-0.011,0,0,363.399,1767.5726,4.864
229200.00,0.013,0,0,370.582,1798.8051,4.854
229400.00,0.02,0,0,405.705,1959.5551,4.83
229600.00,0.002,0,0,405.688,1959.4729,4.83
229800.00,0.005,0,0,405.836,1960.1879,4.83
230000.00,0.014,0,0,563.387,2658.0601,4.718
230200.00,-0.006,0,0,405.54,1959.5692,4.832
230400.00,-0.005,0,0,405.194,1957.8973,4.832
230600.00,0,0,0,405.322,1957.7052,4.83
230800.00,-0.005,0,0,405.754,1958.1688,4.826
231000.00,0,0,0,405.039,1957.1483,4.832
231200.00,0.013,0,0,405.093,1955.7889,4.828
231400.00,0,0,0,405.105,1958.2777,4.834
231600.00,-0.014,0,0,405.685,1959.4585,4.83
231800.00,0,0,0,405.076,1958.1373,4.834
232000.00,-0.003,0,0,566.718,2672.6423,4.716
232200.00,0.016,0,0,405.782,1960.7386,4.832
232400.00,0.018,0,0,405.757,1958.1833,4.826
232600.00,0.012,0,0,406.276,1962.3131,4.83
232800.00,0.015,0,0,405.19,1957.0676,4.83
233000.00,0.008,0,0,405.523,1958.6761,4.83
233200.00,-0.005,0,0,405.301,1958.4143,4.832
233400.00,-0.003,0,0,405.918,1962.2076,4.834
233600.00,0.002,0,0,406.132,1963.2421,4.834
233800.00,0.024,0,0,405.256,1957.3865,4.83
234000.00,0.016,0,0,598.177,2806.6465,4.692
234200.00,0.002,0,0,404.758,1954.9811,4.83
234400.00,-0.007,0,0,405.079,1956.5316,4.83
234600.00,-0.021,0,0,407.275,1966.3237,4.828
234800.00,0,0,0,358.661,1745.2445,4.866
235000.00,0.015,0,0,365.703,1775.8538,4.856
235200.00,-0.006,0,0,457.885,2196.9321,4.798
235400.00,-0.012,0,0,368.574,1790.5325,4.858
235600.00,0.012,0,0,358.799,1745.916,4.866
235800.00,0.001,0,0,375.929,1825.5111,4.856
236000.00,-0.001,0,0,371.481,1802.4258,4.852
236200.00,-0.007,0,0,410.322,1980.214,4.826
236400.00,-0.012,0,0,368.351,1789.4491,4.858
236600.00,-0.002,0,0,358.515,1743.817,4.864
236800.00,-0.021,0,0,368.023,1787.8557,4.858
237000.00,0.017,0,0,457.654,2194.9084,4.796
237200.00,0.002,0,0,358.587,1744.1671,4.864
237400.00,-0.005,0,0,359.242,1747.353,4.864
237600.00,-0.013,0,0,368.226,1788.8419,4.858
237800.00,0.003,0,0,368.152,1787.7461,4.856
238000.00,-0.014,0,0,408.517,1972.3201,4.828
238200.00,-0.009,0,0,312.991,1531.778,4.894
238400.00,-0.003,0,0,370.326,1798.303,4.856
238600.00,0.016,0,0,373.905,1815.6826,4.856
238800.00,0.016,0,0,359.996,1751.0205,4.864
239000.00,0.006,0,0,419.699,2023.7886,4.822
239200.00,-0.005,0,0,360.729,1754.5858,4.864
239400.00,0.001,0,0,363.279,1766.2625,4.862
239600.00,0.02,0,0,368.462,1789.2515,4.856
239800.00,0.018,0,0,312.701,1530.984,4.896
240000.00,-0.012,0,0,426.269,2051.2063,4.812
240200.00,0.005,0,0,312.775,1531.9718,4.898
240400.00,-0.011,0,0,366.819,1782.7404,4.86
240600.00,0.016,0,0,312.75,1530.5985,4.894
240800.00,0.004,0,0,365.795,1776.3005,4.856
241000.00,0.004,0,0,435.702,2095.7266,4.81
241200.00,-0.012,0,0,370.053,1791.7966,4.842
241400.00,0,0,0,363.036,1764.3551,4.86
241600.00,0,0,0,364.282,1771.8677,4.864
241800.00,0.008,0,0,312.646,1531.34,4.898
242000.00,0.003,0,0,431.14,2076.3704,4.816
242200.00,0,0,0,362.646,1762.4596,4.86
242400.00,0.009,0,0,363.073,1765.2609,4.862
242600.00,0,0,0,360.252,1752.2657,4.864
242800.00,0.014,0,0,451.096,2166.1631,4.802
243000.00,0,0,0,419.934,2024.9218,4.822
243200.00,0.012,0,0,360.721,1753.8256,4.862
243400.00,-0.004,0,0,362.528,1761.8862,4.86
243600.00,0,0,0,363.195,1766.5804,4.864
243800.00,-0.004,0,0,363.244,1766.8187,4.864
244000.00,0,0,0,422.769,2040.2833,4.826
244200.00,-0.009,0,0,562.98,2655.0137,4.716
244400.00,-0.005,0,0,405.13,1957.5881,4.832
244600.00,0.012,0,0,405.093,1957.4092,4.832
244800.00,0.012,0,0,405.574,1959.7335,4.832
245000.00,0.011,0,0,405.273,1957.4686,4.83
245200.00,-0.003,0,0,404.824,1956.1095,4.832
245400.00,0,0,0,405.606,1959.0769,4.83
245600.00,-0.007,0,0,447.077,2146.8638,4.802
245800.00,-0.007,0,0,405.858,1961.1058,4.832
246000.00,0.003,0,0,407.939,1970.3453,4.83
246200.00,0.002,0,0,565.314,2668.282,4.72
246400.00,0.021,0,0,404.952,1956.7279,4.832
246600.00,0.012,0,0,405.17,1956.9712,4.83
246800.00,-0.005,0,0,405.194,1958.7079,4.834
247000.00,0.016,0,0,405.98,1960.8834,4.83
247200.00,0.005,0,0,406.029,1962.7441,4.834
247400.00,0.002,0,0,405.399,1958.8878,4.832
247600.00,0.014,0,0,405.091,1957.3997,4.832
247800.00,0.012,0,0,405.305,1957.623,4.83
248000.00,0.01,0,0,406.367,1962.7526,4.83
