timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-24 20,23.5,64.88,25.86,24.0,26.0,1011,2.1,320,0.0,40,0,2
2019-03-24 21,21.93,70.38,24.19,21.67,24.4,1012,2.1,320,0.0,40,0,2
2019-03-24 22,19.82,79.95,22.79,21.09,22.0,1012,2.1,320,0.0,40,2,2
2019-03-24 23,18.57,85.78,22.79,20.87,22.0,1012,2.1,320,0.0,40,2,2
2019-03-25 00,17.53,90.75,21.97,19.93,21.67,1012,2.1,320,0.0,40,2,3
2019-03-25 01,17.0,92.6,19.48,18.72,19.6,1011,2.1,270,0.0,40,2,4
2019-03-25 02,16.8,90.78,18.82,18.0,19.6,1011,2.1,270,0.0,40,2,4
2019-03-25 03,16.02,92.72,17.76,17.0,19.6,1011,2.1,270,0.0,40,2,4
2019-03-25 04,15.75,93.28,18.08,17.0,18.8,1011,1.5,270,0.0,40,2,4
2019-03-25 05,15.78,92.5,18.37,17.0,19.48,1012,1.5,270,0.0,40,2,5
2019-03-25 06,15.88,92.0,16.62,17.0,20.0,1013,4.12,270,0.0,75,2,4
2019-03-25 07,16.0,92.12,16.85,17.0,20.0,1013,4.1,270,0.0,75,2,4
2019-03-25 08,16.88,90.05,18.71,18.4,20.0,1013,2.6,270,0.0,75,0,4
2019-03-25 09,18.48,83.12,19.18,18.4,21.0,1014,3.1,270,0.0,40,0,5
2019-03-25 10,22.25,66.1,23.37,21.26,25.8,1014,3.1,320,0.0,40,0,4
2019-03-25 11,25.93,50.95,26.05,23.24,28.33,1011,2.1,320,0.0,40,0,4
2019-03-25 12,28.33,41.92,26.86,24.2,29.0,1010,2.1,270,0.0,40,0,3
2019-03-25 13,29.85,36.88,28.0,26.43,29.0,1012,2.1,270,0.0,40,0,3
2019-03-25 14,29.65,35.62,27.73,27.67,30.0,1008,3.1,270,0.0,40,0,2
2019-03-25 15,29.77,34.77,27.79,24.7,30.0,1007,3.1,280,0.0,40,0,6
2019-03-25 16,28.95,40.0,27.4,25.08,30.0,1007,3.6,290,0.0,20,0,1
2019-03-25 17,26.8,40.9,25.92,24.64,27.0,1011,3.1,360,0.0,20,0,2
2019-03-25 18,25.15,46.3,25.04,24.97,26.0,1012,2.1,360,0.0,20,0,2
